PAC4GC:7356460.12.592a4f58	Xelaev18037980m.g	16119
PAC4GC:7356460.6.592a4f58	Xelaev18037980m.g	16116
PAC4GC:7356460.11.592a4f58	Xelaev18037980m.g	16116
PAC4GC:7356460.3.592a4f58	Xelaev18037980m.g	16113
PAC4GC:7356460.13.592a4f58	Xelaev18037980m.g	16113
PAC4GC:7364490.3.592a4f5d	Xelaev18025754m.g	16112
PAC4GC:7354025.2.592a4f54	Xelaev18011685m.g	16112
PAC4GC:7356460.8.592a4f58	Xelaev18037980m.g	16110
PAC4GC:7345781	Xelaev18038851m.g	16110
PAC4GC:7351622.1.592a4f60	Xelaev18015936m.g	16109
PAC4GC:7356648.2.592a4f58	Xelaev18037982m.g	16104
PAC4GC:7356460.4.592a4f58	Xelaev18037980m.g	16101
PAC4GC:7356460.9.592a4f58	Xelaev18037980m.g	16098
PAC4GC:7352070.2.592a4f5c	Xelaev18015601m.g	16096
PAC4GC:7361431	Xelaev18003541m.g	16077
PAC4GC:7354025.10.592a4f54	Xelaev18011685m.g	16071
PAC4GC:7354025.6.592a4f54	Xelaev18011685m.g	16048
PAC4GC:7361939	Xelaev18021906m.g	16047
PAC4GC:7363161.1.592a4f65	Xelaev18023868m.g	16024
PAC4GC:7354025.4.592a4f54	Xelaev18011685m.g	16024
PAC4GC:7359690	Xelaev18044932m.g	16011
PAC4GC:7369390	Xelaev18001773m.g	16005
PAC4GC:7351739.1.592a4f60	Xelaev18015916m.g	16004
PAC4GC:7361431.4.592a4f6a	Xelaev18003541m.g	15991
PAC4GC:7361431.2.592a4f6a	Xelaev18003541m.g	15988
PAC4GC:7361758.2.592a4f4f	Xelaev18021905m.g	15976
PAC4GC:7361432	Xelaev18003542m.g	15960
PAC4GC:7360947.2.592a4f68	Xelaev18044933m.g	15947
PAC4GC:7355445_PAC4GC:7353611	10887_10888	15927
PAC4GC:7352163.1.592a4f5e	Xelaev18015759m.g	15922
PAC4GC:7361758.1.592a4f4f	Xelaev18021905m.g	15917
PAC4GC:7358385.1.592a4f67	Xelaev18001527m.g	15915
PAC4GC:7361700.2.592a4f65	Xelaev18023798m.g	15815
PAC4GC:7350244	Xelaev18019907m.g	15805
PAC4GC:7350642	Xelaev18015758m.g	15799
PAC4GC:7348962.1.592a4f5d	Xelaev18021369m.g	15795
PAC4GC:7355381.1.592a4f65	Xelaev18013183m.g	15776
PAC4GC:7331691_PAC4GC:7331911.4.592d0e1b	5359_5358	15760
PAC4GC:7331691_PAC4GC:7331911.1.592d0e1b	5359_5358	15757
PAC4GC:7327346	Xelaev18026747m.g	15744
PAC4GC:7369374.1.592a4f67	Xelaev18001772m.g	15712
PAC4GC:7355381.2.592a4f65	Xelaev18013183m.g	15707
PAC4GC:7325254	Xelaev18031980m.g	15683
PAC4GC:7355004	Xelaev18013021m.g	15659
PAC4GC:7365716.1.592a4f55	Xelaev18025002m.g	15658
PAC4GC:7355004.2.592a4f63	Xelaev18013021m.g	15647
PAC4GC:7351356.1.592a4f5b	Xelaev18015562m.g	15645
PAC4GC:7352235	Xelaev18015563m.g	15633
PAC4GC:7355942.2.592a4f64.2.592d0e2a	Xelaev18013063m.g	15629
PAC4GC:7368431	Xelaev18035432m.g	15615
PAC4GC:7355381.5.592a4f65	Xelaev18013183m.g	15605
PAC4GC:7355921	Xelaev18013427m.g	15597
PAC4GC:7342988.1.592a4f5a.5.592d0e1d	Xelaev18018001m.g	15594
PAC4GC:7355381.3.592a4f65	Xelaev18013183m.g	15593
PAC4GC:7355004.1.592a4f63	Xelaev18013021m.g	15586
PAC4GC:7355381.7.592a4f65	Xelaev18013183m.g	15578
PAC4GC:7331691_PAC4GC:7331911.5.592d0e1b	5359_5358	15575
PAC4GC:7331691_PAC4GC:7331911.6.592d0e1b	5359_5358	15572
PAC4GC:7355381.6.592a4f65	Xelaev18013183m.g	15566
PAC4GC:7330390	Xelaev18008104m.g	15565
PAC4GC:7355483.1.592a4f66	Xelaev18013426m.g	15546
PAC4GC:7348903	Xelaev18020155m.g	15544
PAC4GC:7323179.4.592a4f5d	Xelaev18030295m.g	15543
PAC4GC:7330502.6.592a4f51	Xelaev18005064m.g	15541
PAC4GC:7347971	Xelaev18040378m.g	15535
